"","BOROUGH","NEIGHBORHOOD","TYPE.OF.HOME","NUMBER.OF.SALES","LOWEST.SALE.PRICE","AVERAGE.SALE.PRICE","MEDIAN.SALE.PRICE","HIGHEST.SALE.PRICE","YEAR","DISTRICT"
"1408","Staten Island","FRESH MEADOWS","03 THREE FAMILY HOMES",1,822000,822000,822000,822000,2007,"FRESH MEADOWS"
"1409","Staten Island","GLEN OAKS","01 ONE FAMILY HOMES",35,347500,571886,535000,995000,2007,"GLEN OAKS"
"1410","Staten Island","GLEN OAKS","02 TWO FAMILY HOMES",4,636500,791096,765000,997885,2007,"GLEN OAKS"
"1411","Staten Island","GLENDALE","01 ONE FAMILY HOMES",75,250000,509705,5e+05,7e+05,2007,"GLENDALE"
"1412","Staten Island","GLENDALE","02 TWO FAMILY HOMES",139,171616,614445,610000,949823,2007,"GLENDALE"
"1413","Staten Island","GLENDALE","03 THREE FAMILY HOMES",22,385000,766800,764000,995000,2007,"GLENDALE"
"1414","Staten Island","HAMMELS","01 ONE FAMILY HOMES",15,210840,328497,299457,5e+05,2007,"HAMMELS"
"1415","Staten Island","HAMMELS","02 TWO FAMILY HOMES",21,215000,466629,492703,660000,2007,"HAMMELS"
"1416","Staten Island","HAMMELS","03 THREE FAMILY HOMES",4,2e+05,460497,493350,655286,2007,"HAMMELS"
"1417","Staten Island","HILLCREST","01 ONE FAMILY HOMES",30,375000,522950,510000,750000,2007,"HILLCREST"
"1418","Staten Island","HILLCREST","02 TWO FAMILY HOMES",9,539540,609474,6e+05,745000,2007,"HILLCREST"
"1419","Staten Island","HOLLIS","01 ONE FAMILY HOMES",215,156000,459876,460000,930000,2007,"HOLLIS"
"1420","Staten Island","HOLLIS","02 TWO FAMILY HOMES",94,199524,556066,571250,780000,2007,"HOLLIS"
"1421","Staten Island","HOLLIS","03 THREE FAMILY HOMES",7,380000,769964,821727,949000,2007,"HOLLIS"
"1422","Staten Island","HOLLIS HILLS","01 ONE FAMILY HOMES",39,505000,746711,710000,1400000,2007,"HOLLIS HILLS"
"1423","Staten Island","HOLLISWOOD","01 ONE FAMILY HOMES",34,3e+05,682888,707500,1575000,2007,"HOLLISWOOD"
"1424","Staten Island","HOLLISWOOD","02 TWO FAMILY HOMES",6,5e+05,800750,799000,999000,2007,"HOLLISWOOD"
"1425","Staten Island","HOWARD BEACH","01 ONE FAMILY HOMES",102,150000,560384,6e+05,1069162,2007,"HOWARD BEACH"
"1426","Staten Island","HOWARD BEACH","02 TWO FAMILY HOMES",36,210000,657926,665000,920000,2007,"HOWARD BEACH"
"1427","Staten Island","HOWARD BEACH","03 THREE FAMILY HOMES",7,550000,679800,710000,750000,2007,"HOWARD BEACH"
"1428","Staten Island","JACKSON HEIGHTS","01 ONE FAMILY HOMES",118,289000,610343,6e+05,1690000,2007,"JACKSON HEIGHTS"
"1429","Staten Island","JACKSON HEIGHTS","02 TWO FAMILY HOMES",116,175000,692948,697500,996100,2007,"JACKSON HEIGHTS"
"1430","Staten Island","JACKSON HEIGHTS","03 THREE FAMILY HOMES",61,250000,829255,850000,1825000,2007,"JACKSON HEIGHTS"
"1431","Staten Island","JAMAICA","01 ONE FAMILY HOMES",50,285600,516534,495340,875000,2007,"JAMAICA"
"1432","Staten Island","JAMAICA","02 TWO FAMILY HOMES",59,2e+05,614805,590000,1390000,2007,"JAMAICA"
"1433","Staten Island","JAMAICA","03 THREE FAMILY HOMES",26,390000,833336,860625,985800,2007,"JAMAICA"
"1434","Staten Island","JAMAICA BAY","01 ONE FAMILY HOMES",6,156250,354208,375000,470000,2007,"JAMAICA BAY"
"1435","Staten Island","JAMAICA BAY","02 TWO FAMILY HOMES",1,195000,195000,195000,195000,2007,"JAMAICA BAY"
"1436","Staten Island","JAMAICA ESTATES","01 ONE FAMILY HOMES",66,250000,924422,865000,2276000,2007,"JAMAICA ESTATES"
"1437","Staten Island","JAMAICA ESTATES","02 TWO FAMILY HOMES",6,650000,917500,932500,1250000,2007,"JAMAICA ESTATES"
"1438","Staten Island","JAMAICA ESTATES","03 THREE FAMILY HOMES",6,910000,953057,967337,995000,2007,"JAMAICA ESTATES"
"1439","Staten Island","JAMAICA HILLS","01 ONE FAMILY HOMES",27,180000,618472,602299,820000,2007,"JAMAICA HILLS"
"1440","Staten Island","JAMAICA HILLS","02 TWO FAMILY HOMES",18,5e+05,745063,768750,950000,2007,"JAMAICA HILLS"
"1441","Staten Island","JAMAICA HILLS","03 THREE FAMILY HOMES",3,740000,908529,992793,992793,2007,"JAMAICA HILLS"
"1442","Staten Island","KEW GARDENS","01 ONE FAMILY HOMES",30,325000,786489,639150,3e+06,2007,"KEW GARDENS"
"1443","Staten Island","KEW GARDENS","02 TWO FAMILY HOMES",10,563000,756399,730000,995292,2007,"KEW GARDENS"
"1444","Staten Island","KEW GARDENS","03 THREE FAMILY HOMES",8,550000,853000,890000,999000,2007,"KEW GARDENS"
"1445","Staten Island","LAURELTON","01 ONE FAMILY HOMES",178,165000,431991,447000,726500,2007,"LAURELTON"
"1446","Staten Island","LAURELTON","02 TWO FAMILY HOMES",63,185000,534222,551200,695000,2007,"LAURELTON"
"1447","Staten Island","LAURELTON","03 THREE FAMILY HOMES",3,578000,639667,626000,715000,2007,"LAURELTON"
"1448","Staten Island","LITTLE NECK","01 ONE FAMILY HOMES",104,155000,702766,680000,2150000,2007,"LITTLE NECK"
"1449","Staten Island","LITTLE NECK","02 TWO FAMILY HOMES",12,710000,901811,916425,1240228,2007,"LITTLE NECK"
"1450","Staten Island","LITTLE NECK","03 THREE FAMILY HOMES",3,682000,754000,7e+05,880000,2007,"LITTLE NECK"
"1451","Staten Island","LONG ISLAND CITY","01 ONE FAMILY HOMES",13,286850,792450,610000,2900000,2007,"LONG ISLAND CITY"
"1452","Staten Island","LONG ISLAND CITY","02 TWO FAMILY HOMES",29,2e+05,780481,750000,1525000,2007,"LONG ISLAND CITY"
"1453","Staten Island","LONG ISLAND CITY","03 THREE FAMILY HOMES",15,325000,793100,8e+05,1130000,2007,"LONG ISLAND CITY"
"1454","Staten Island","MASPETH","01 ONE FAMILY HOMES",113,167500,517591,515000,1007106,2007,"MASPETH"
"1455","Staten Island","MASPETH","02 TWO FAMILY HOMES",122,170000,603605,617500,9e+05,2007,"MASPETH"
"1456","Staten Island","MASPETH","03 THREE FAMILY HOMES",34,200800,772789,767500,1950000,2007,"MASPETH"
"1457","Staten Island","MIDDLE VILLAGE","01 ONE FAMILY HOMES",156,198894,534953,525500,1250000,2007,"MIDDLE VILLAGE"
"1458","Staten Island","MIDDLE VILLAGE","02 TWO FAMILY HOMES",96,150000,634446,640000,977520,2007,"MIDDLE VILLAGE"
"1459","Staten Island","MIDDLE VILLAGE","03 THREE FAMILY HOMES",27,180000,772913,820000,1235000,2007,"MIDDLE VILLAGE"
"1460","Staten Island","NEPONSIT","01 ONE FAMILY HOMES",9,4e+05,1361556,1180000,4425000,2007,"NEPONSIT"
"1461","Staten Island","NEPONSIT","02 TWO FAMILY HOMES",2,825000,9e+05,9e+05,975000,2007,"NEPONSIT"
"1462","Staten Island","OAKLAND GARDENS","01 ONE FAMILY HOMES",84,214000,689140,666833,1350000,2007,"OAKLAND GARDENS"
"1463","Staten Island","OAKLAND GARDENS","02 TWO FAMILY HOMES",7,4e+05,764714,830000,988000,2007,"OAKLAND GARDENS"
"1464","Staten Island","OAKLAND GARDENS","03 THREE FAMILY HOMES",4,403000,712750,786500,875000,2007,"OAKLAND GARDENS"
"1465","Staten Island","OZONE PARK","01 ONE FAMILY HOMES",107,165000,446744,440000,8e+05,2007,"OZONE PARK"
"1466","Staten Island","OZONE PARK","02 TWO FAMILY HOMES",188,215000,578846,580450,865512,2007,"OZONE PARK"
"1467","Staten Island","OZONE PARK","03 THREE FAMILY HOMES",31,167000,688531,675000,9e+05,2007,"OZONE PARK"
"1468","Staten Island","QUEENS VILLAGE","01 ONE FAMILY HOMES",313,157500,450858,455000,820000,2007,"QUEENS VILLAGE"
"1469","Staten Island","QUEENS VILLAGE","02 TWO FAMILY HOMES",97,177333,557359,550000,875000,2007,"QUEENS VILLAGE"
"1470","Staten Island","QUEENS VILLAGE","03 THREE FAMILY HOMES",6,556000,650167,655000,730000,2007,"QUEENS VILLAGE"
"1471","Staten Island","REGO PARK","01 ONE FAMILY HOMES",78,268750,662685,605500,1350000,2007,"REGO PARK"
"1472","Staten Island","REGO PARK","02 TWO FAMILY HOMES",25,4e+05,750500,750000,980000,2007,"REGO PARK"
"1473","Staten Island","REGO PARK","03 THREE FAMILY HOMES",10,655000,805500,812500,970000,2007,"REGO PARK"
"1474","Staten Island","RICHMOND HILL","01 ONE FAMILY HOMES",215,162240,482136,477000,1007000,2007,"RICHMOND HILL"
"1475","Staten Island","RICHMOND HILL","02 TWO FAMILY HOMES",268,265000,607703,615500,999975,2007,"RICHMOND HILL"
"1476","Staten Island","RICHMOND HILL","03 THREE FAMILY HOMES",27,499999,712231,732000,850000,2007,"RICHMOND HILL"
"1477","Staten Island","RIDGEWOOD","01 ONE FAMILY HOMES",26,240000,451839,419605,795000,2007,"RIDGEWOOD"
"1478","Staten Island","RIDGEWOOD","02 TWO FAMILY HOMES",116,171616,591708,6e+05,980000,2007,"RIDGEWOOD"
"1479","Staten Island","RIDGEWOOD","03 THREE FAMILY HOMES",35,171616,625242,690000,865587,2007,"RIDGEWOOD"
"1480","Staten Island","ROCKAWAY PARK","01 ONE FAMILY HOMES",10,250000,425949,412000,7e+05,2007,"ROCKAWAY PARK"
"1481","Staten Island","ROCKAWAY PARK","02 TWO FAMILY HOMES",14,150000,567218,585625,655000,2007,"ROCKAWAY PARK"
"1482","Staten Island","ROCKAWAY PARK","03 THREE FAMILY HOMES",9,495000,704592,715000,930000,2007,"ROCKAWAY PARK"
"1483","Staten Island","ROSEDALE","01 ONE FAMILY HOMES",188,175000,453160,448525,725000,2007,"ROSEDALE"
"1484","Staten Island","ROSEDALE","02 TWO FAMILY HOMES",146,165000,618767,650000,749000,2007,"ROSEDALE"
"1485","Staten Island","ROSEDALE","03 THREE FAMILY HOMES",6,505000,609000,628500,667000,2007,"ROSEDALE"
"1486","Staten Island","SO. JAMAICA-BAISLEY PARK","01 ONE FAMILY HOMES",387,175000,393389,389000,730000,2007,"SO. JAMAICA-BAISLEY PARK"
"1487","Staten Island","SO. JAMAICA-BAISLEY PARK","02 TWO FAMILY HOMES",159,197000,521048,533180,777000,2007,"SO. JAMAICA-BAISLEY PARK"
"1488","Staten Island","SO. JAMAICA-BAISLEY PARK","03 THREE FAMILY HOMES",7,395000,567857,575000,735000,2007,"SO. JAMAICA-BAISLEY PARK"
"1489","Staten Island","SOUTH JAMAICA","01 ONE FAMILY HOMES",273,155000,413719,403000,760000,2007,"SOUTH JAMAICA"
"1490","Staten Island","SOUTH JAMAICA","02 TWO FAMILY HOMES",223,191000,555553,569000,3510000,2007,"SOUTH JAMAICA"
"1491","Staten Island","SOUTH JAMAICA","03 THREE FAMILY HOMES",26,2e+05,540555,605000,699600,2007,"SOUTH JAMAICA"
"1492","Staten Island","SOUTH OZONE PARK","01 ONE FAMILY HOMES",268,170000,469427,460000,880000,2007,"SOUTH OZONE PARK"
"1493","Staten Island","SOUTH OZONE PARK","02 TWO FAMILY HOMES",167,150000,597318,610000,849590,2007,"SOUTH OZONE PARK"
"1494","Staten Island","SOUTH OZONE PARK","03 THREE FAMILY HOMES",8,560000,670275,687500,750000,2007,"SOUTH OZONE PARK"
"1495","Staten Island","SPRINGFIELD GARDENS","01 ONE FAMILY HOMES",262,210000,420404,409050,730340,2007,"SPRINGFIELD GARDENS"
"1496","Staten Island","SPRINGFIELD GARDENS","02 TWO FAMILY HOMES",172,288000,572094,585000,785000,2007,"SPRINGFIELD GARDENS"
"1497","Staten Island","SPRINGFIELD GARDENS","03 THREE FAMILY HOMES",1,603000,603000,603000,603000,2007,"SPRINGFIELD GARDENS"
"1498","Staten Island","ST. ALBANS","01 ONE FAMILY HOMES",284,160000,416969,414745,734000,2007,"ST. ALBANS"
"1499","Staten Island","ST. ALBANS","02 TWO FAMILY HOMES",127,150000,521685,540000,950000,2007,"ST. ALBANS"
"1500","Staten Island","ST. ALBANS","03 THREE FAMILY HOMES",5,390000,551000,535000,810000,2007,"ST. ALBANS"
"1501","Staten Island","SUNNYSIDE","01 ONE FAMILY HOMES",22,360000,599595,587500,9e+05,2007,"SUNNYSIDE"
"1502","Staten Island","SUNNYSIDE","02 TWO FAMILY HOMES",32,150000,708556,751500,1e+06,2007,"SUNNYSIDE"
"1503","Staten Island","SUNNYSIDE","03 THREE FAMILY HOMES",10,530000,825493,820000,1141000,2007,"SUNNYSIDE"
"1504","Staten Island","WHITESTONE","01 ONE FAMILY HOMES",154,150000,796973,645000,4900000,2007,"WHITESTONE"
"1505","Staten Island","WHITESTONE","02 TWO FAMILY HOMES",63,150000,780882,780000,1180000,2007,"WHITESTONE"
"1506","Staten Island","WHITESTONE","03 THREE FAMILY HOMES",6,188173,757946,750000,1260000,2007,"WHITESTONE"
"1507","Staten Island","WOODHAVEN","01 ONE FAMILY HOMES",119,205000,454610,443000,750000,2007,"WOODHAVEN"
"1508","Staten Island","WOODHAVEN","02 TWO FAMILY HOMES",122,230000,584485,610130,795000,2007,"WOODHAVEN"
"1509","Staten Island","WOODHAVEN","03 THREE FAMILY HOMES",30,210000,622627,620000,785000,2007,"WOODHAVEN"
"1510","Staten Island","WOODSIDE","01 ONE FAMILY HOMES",49,217500,664771,616000,2e+06,2007,"WOODSIDE"
"1511","Staten Island","WOODSIDE","02 TWO FAMILY HOMES",52,250000,720973,700500,1410000,2007,"WOODSIDE"
"1512","Staten Island","WOODSIDE","03 THREE FAMILY HOMES",20,570000,849783,844000,1100000,2007,"WOODSIDE"
"1513","Queens","BATH BEACH","01 ONE FAMILY HOMES",23,320000,542591,520000,1250000,2007,"BATH BEACH"
"1514","Queens","BATH BEACH","02 TWO FAMILY HOMES",76,357500,646460,632000,1750000,2007,"BATH BEACH"
"1515","Queens","BATH BEACH","03 THREE FAMILY HOMES",23,350500,760900,762000,1400000,2007,"BATH BEACH"
"1516","Queens","BAY RIDGE","01 ONE FAMILY HOMES",146,180000,751608,662500,2100000,2007,"BAY RIDGE"
"1517","Queens","BAY RIDGE","02 TWO FAMILY HOMES",137,150000,738603,757500,1550000,2007,"BAY RIDGE"
"1518","Queens","BAY RIDGE","03 THREE FAMILY HOMES",12,485000,841167,756500,1760000,2007,"BAY RIDGE"
"1519","Queens","BEDFORD STUYVESANT","01 ONE FAMILY HOMES",47,2e+05,487016,450000,770000,2007,"BEDFORD STUYVESANT"
"1520","Queens","BEDFORD STUYVESANT","02 TWO FAMILY HOMES",338,150000,618612,627500,1450000,2007,"BEDFORD STUYVESANT"
"1521","Queens","BEDFORD STUYVESANT","03 THREE FAMILY HOMES",232,150000,659488,7e+05,1900000,2007,"BEDFORD STUYVESANT"
"1522","Queens","BENSONHURST","01 ONE FAMILY HOMES",64,198000,584915,553750,1300000,2007,"BENSONHURST"
"1523","Queens","BENSONHURST","02 TWO FAMILY HOMES",154,150000,680815,667500,2975000,2007,"BENSONHURST"
"1524","Queens","BENSONHURST","03 THREE FAMILY HOMES",46,225000,752797,766500,1500000,2007,"BENSONHURST"
"1525","Queens","BERGEN BEACH","01 ONE FAMILY HOMES",48,163000,642888,636500,1600000,2007,"BERGEN BEACH"
"1526","Queens","BERGEN BEACH","02 TWO FAMILY HOMES",38,250000,676972,738231,985000,2007,"BERGEN BEACH"
"1527","Queens","BERGEN BEACH","03 THREE FAMILY HOMES",16,300527,717112,747500,810000,2007,"BERGEN BEACH"
"1528","Queens","BOERUM HILL","01 ONE FAMILY HOMES",7,995000,1698600,1865000,2200000,2007,"BOERUM HILL"
"1529","Queens","BOERUM HILL","02 TWO FAMILY HOMES",20,332500,1545648,1575000,2358000,2007,"BOERUM HILL"
"1530","Queens","BOERUM HILL","03 THREE FAMILY HOMES",7,1105000,1868643,1725000,3120000,2007,"BOERUM HILL"
"1531","Queens","BOROUGH PARK","01 ONE FAMILY HOMES",76,319870,730822,652500,2200000,2007,"BOROUGH PARK"
"1532","Queens","BOROUGH PARK","02 TWO FAMILY HOMES",230,160000,789850,745000,3e+06,2007,"BOROUGH PARK"
"1533","Queens","BOROUGH PARK","03 THREE FAMILY HOMES",80,150000,915672,870250,2300000,2007,"BOROUGH PARK"
"1534","Queens","BRIGHTON BEACH","01 ONE FAMILY HOMES",6,220000,618167,605000,885000,2007,"BRIGHTON BEACH"
"1535","Queens","BRIGHTON BEACH","02 TWO FAMILY HOMES",18,359000,641333,635000,995000,2007,"BRIGHTON BEACH"
"1536","Queens","BRIGHTON BEACH","03 THREE FAMILY HOMES",12,350000,589120,610000,741600,2007,"BRIGHTON BEACH"
"1537","Queens","BROOKLYN HEIGHTS","01 ONE FAMILY HOMES",2,1900000,3400000,3400000,4900000,2007,"BROOKLYN HEIGHTS"
"1538","Queens","BROOKLYN HEIGHTS","02 TWO FAMILY HOMES",10,1300000,4011923,3450000,8e+06,2007,"BROOKLYN HEIGHTS"
"1539","Queens","BROOKLYN HEIGHTS","03 THREE FAMILY HOMES",2,1850000,2675000,2675000,3500000,2007,"BROOKLYN HEIGHTS"
"1540","Queens","BROWNSVILLE","01 ONE FAMILY HOMES",43,2e+05,348499,360000,445000,2007,"BROWNSVILLE"
"1541","Queens","BROWNSVILLE","02 TWO FAMILY HOMES",57,2e+05,465342,475000,730000,2007,"BROWNSVILLE"
"1542","Queens","BROWNSVILLE","03 THREE FAMILY HOMES",31,450000,699731,692410,8e+05,2007,"BROWNSVILLE"
"1543","Queens","BUSH TERMINAL","01 ONE FAMILY HOMES",2,6e+05,625000,625000,650000,2007,"BUSH TERMINAL"
"1544","Queens","BUSH TERMINAL","02 TWO FAMILY HOMES",8,150000,502732,517500,750000,2007,"BUSH TERMINAL"
"1545","Queens","BUSH TERMINAL","03 THREE FAMILY HOMES",2,560000,706000,706000,852000,2007,"BUSH TERMINAL"
"1546","Queens","BUSHWICK","01 ONE FAMILY HOMES",23,170000,476536,465000,780000,2007,"BUSHWICK"
"1547","Queens","BUSHWICK","02 TWO FAMILY HOMES",166,155000,528775,558047,960000,2007,"BUSHWICK"
"1548","Queens","BUSHWICK","03 THREE FAMILY HOMES",126,210000,636641,675000,835000,2007,"BUSHWICK"
"1549","Queens","CANARSIE","01 ONE FAMILY HOMES",124,170000,431138,441000,730000,2007,"CANARSIE"
"1550","Queens","CANARSIE","02 TWO FAMILY HOMES",276,155000,558635,583000,769000,2007,"CANARSIE"
"1551","Queens","CANARSIE","03 THREE FAMILY HOMES",43,250000,650539,665000,849750,2007,"CANARSIE"
"1552","Queens","CARROLL GARDENS","01 ONE FAMILY HOMES",2,650500,1222750,1222750,1795000,2007,"CARROLL GARDENS"
"1553","Queens","CARROLL GARDENS","02 TWO FAMILY HOMES",23,210000,1294563,1350000,2860000,2007,"CARROLL GARDENS"
"1554","Queens","CARROLL GARDENS","03 THREE FAMILY HOMES",10,950000,1358190,1242500,1870000,2007,"CARROLL GARDENS"
"1555","Queens","CLINTON HILL","01 ONE FAMILY HOMES",8,495000,1362500,1385000,3200000,2007,"CLINTON HILL"
"1556","Queens","CLINTON HILL","02 TWO FAMILY HOMES",26,450000,1169994,1158000,2300000,2007,"CLINTON HILL"
"1557","Queens","CLINTON HILL","03 THREE FAMILY HOMES",22,360000,1069045,1080000,1700000,2007,"CLINTON HILL"
"1558","Queens","COBBLE HILL","01 ONE FAMILY HOMES",8,8e+05,1903625,1600000,3600000,2007,"COBBLE HILL"
"1559","Queens","COBBLE HILL","02 TWO FAMILY HOMES",3,650000,1905667,1600000,3467000,2007,"COBBLE HILL"
"1560","Queens","COBBLE HILL","03 THREE FAMILY HOMES",4,4e+05,1666750,1583500,3100000,2007,"COBBLE HILL"
"1561","Queens","COBBLE HILL-WEST","02 TWO FAMILY HOMES",4,550000,1281250,1412500,1750000,2007,"COBBLE HILL-WEST"
"1562","Queens","COBBLE HILL-WEST","03 THREE FAMILY HOMES",3,4e+05,825000,950000,1125000,2007,"COBBLE HILL-WEST"
"1563","Queens","CONEY ISLAND","01 ONE FAMILY HOMES",37,150000,351400,358500,470000,2007,"CONEY ISLAND"
"1564","Queens","CONEY ISLAND","02 TWO FAMILY HOMES",6,315000,494500,488500,640000,2007,"CONEY ISLAND"
"1565","Queens","CROWN HEIGHTS","01 ONE FAMILY HOMES",48,150000,674847,690000,1375000,2007,"CROWN HEIGHTS"
"1566","Queens","CROWN HEIGHTS","02 TWO FAMILY HOMES",138,2e+05,667523,640000,4703475,2007,"CROWN HEIGHTS"
"1567","Queens","CROWN HEIGHTS","03 THREE FAMILY HOMES",40,190000,641442,684000,910000,2007,"CROWN HEIGHTS"
"1568","Queens","CYPRESS HILLS","01 ONE FAMILY HOMES",40,180000,411070,401400,575000,2007,"CYPRESS HILLS"
"1569","Queens","CYPRESS HILLS","02 TWO FAMILY HOMES",143,176500,544723,576800,750000,2007,"CYPRESS HILLS"
"1570","Queens","CYPRESS HILLS","03 THREE FAMILY HOMES",51,167227,611018,645000,799000,2007,"CYPRESS HILLS"
"1571","Queens","DOWNTOWN-FULTON FERRY","01 ONE FAMILY HOMES",1,595000,595000,595000,595000,2007,"DOWNTOWN-FULTON FERRY"
"1572","Queens","DOWNTOWN-FULTON FERRY","03 THREE FAMILY HOMES",2,455922,546164,546164,636406,2007,"DOWNTOWN-FULTON FERRY"
"1573","Queens","DOWNTOWN-FULTON MALL","01 ONE FAMILY HOMES",9,2545625,2663873,2708545,2749275,2007,"DOWNTOWN-FULTON MALL"
"1574","Queens","DOWNTOWN-FULTON MALL","02 TWO FAMILY HOMES",1,1850000,1850000,1850000,1850000,2007,"DOWNTOWN-FULTON MALL"
"1575","Queens","DYKER HEIGHTS","01 ONE FAMILY HOMES",69,150000,685862,660000,1875000,2007,"DYKER HEIGHTS"
"1576","Queens","DYKER HEIGHTS","02 TWO FAMILY HOMES",67,2e+05,748916,690000,3400000,2007,"DYKER HEIGHTS"
"1577","Queens","DYKER HEIGHTS","03 THREE FAMILY HOMES",31,215000,814961,825000,1600000,2007,"DYKER HEIGHTS"
"1578","Queens","EAST NEW YORK","01 ONE FAMILY HOMES",126,155000,399570,394000,690000,2007,"EAST NEW YORK"
"1579","Queens","EAST NEW YORK","02 TWO FAMILY HOMES",362,159200,507845,540300,1200000,2007,"EAST NEW YORK"
"1580","Queens","EAST NEW YORK","03 THREE FAMILY HOMES",145,151000,608525,630000,791115,2007,"EAST NEW YORK"
"1581","Queens","FLATBUSH-CENTRAL","01 ONE FAMILY HOMES",60,174000,818062,790000,1900000,2007,"FLATBUSH-CENTRAL"
"1582","Queens","FLATBUSH-CENTRAL","02 TWO FAMILY HOMES",94,198500,711369,663750,1550000,2007,"FLATBUSH-CENTRAL"
"1583","Queens","FLATBUSH-CENTRAL","03 THREE FAMILY HOMES",39,4e+05,718787,750000,996000,2007,"FLATBUSH-CENTRAL"
"1584","Queens","FLATBUSH-EAST","01 ONE FAMILY HOMES",197,177000,481636,450000,1300000,2007,"FLATBUSH-EAST"
"1585","Queens","FLATBUSH-EAST","02 TWO FAMILY HOMES",183,175000,552435,559000,1250500,2007,"FLATBUSH-EAST"
"1586","Queens","FLATBUSH-EAST","03 THREE FAMILY HOMES",38,150000,638407,620000,1270000,2007,"FLATBUSH-EAST"
"1587","Queens","FLATBUSH-LEFFERTS GARDEN","01 ONE FAMILY HOMES",32,157220,865097,8e+05,1665000,2007,"FLATBUSH-LEFFERTS GARDEN"
"1588","Queens","FLATBUSH-LEFFERTS GARDEN","02 TWO FAMILY HOMES",31,236000,678362,665000,1200000,2007,"FLATBUSH-LEFFERTS GARDEN"
"1589","Queens","FLATBUSH-LEFFERTS GARDEN","03 THREE FAMILY HOMES",10,432600,749565,790777,920000,2007,"FLATBUSH-LEFFERTS GARDEN"
"1590","Queens","FLATBUSH-NORTH","01 ONE FAMILY HOMES",27,2e+05,414187,4e+05,7e+05,2007,"FLATBUSH-NORTH"
"1591","Queens","FLATBUSH-NORTH","02 TWO FAMILY HOMES",59,250000,503410,480000,1026000,2007,"FLATBUSH-NORTH"
"1592","Queens","FLATBUSH-NORTH","03 THREE FAMILY HOMES",21,268000,673331,699000,815000,2007,"FLATBUSH-NORTH"
"1593","Queens","FLATLANDS","01 ONE FAMILY HOMES",55,190000,453708,460000,625000,2007,"FLATLANDS"
"1594","Queens","FLATLANDS","02 TWO FAMILY HOMES",63,150000,553387,580031,850000,2007,"FLATLANDS"
"1595","Queens","FLATLANDS","03 THREE FAMILY HOMES",7,281074,623761,685000,740000,2007,"FLATLANDS"
"1596","Queens","FORT GREENE","01 ONE FAMILY HOMES",2,1700000,1750000,1750000,1800000,2007,"FORT GREENE"
"1597","Queens","FORT GREENE","02 TWO FAMILY HOMES",14,3e+05,1477464,1476000,3037500,2007,"FORT GREENE"
"1598","Queens","FORT GREENE","03 THREE FAMILY HOMES",14,525000,1446456,1275000,3010000,2007,"FORT GREENE"
"1599","Queens","GERRITSEN BEACH","01 ONE FAMILY HOMES",65,160000,435908,425000,725000,2007,"GERRITSEN BEACH"
"1600","Queens","GERRITSEN BEACH","02 TWO FAMILY HOMES",6,370000,466667,480000,560000,2007,"GERRITSEN BEACH"
"1601","Queens","GOWANUS","01 ONE FAMILY HOMES",5,312500,556700,435000,935000,2007,"GOWANUS"
"1602","Queens","GOWANUS","02 TWO FAMILY HOMES",26,2e+05,1071329,1125000,1700000,2007,"GOWANUS"
"1603","Queens","GOWANUS","03 THREE FAMILY HOMES",15,181250,752750,785000,1420000,2007,"GOWANUS"
"1604","Queens","GRAVESEND","01 ONE FAMILY HOMES",73,150000,571611,499999,5050000,2007,"GRAVESEND"
"1605","Queens","GRAVESEND","02 TWO FAMILY HOMES",158,150000,634653,610950,1380000,2007,"GRAVESEND"
"1606","Queens","GRAVESEND","03 THREE FAMILY HOMES",54,233333,708158,749750,1250000,2007,"GRAVESEND"
"1607","Queens","GREENPOINT","01 ONE FAMILY HOMES",9,565000,702500,670000,940000,2007,"GREENPOINT"
"1608","Queens","GREENPOINT","02 TWO FAMILY HOMES",33,182500,813992,865500,1600000,2007,"GREENPOINT"
"1609","Queens","GREENPOINT","03 THREE FAMILY HOMES",32,150000,834229,845000,1492500,2007,"GREENPOINT"
"1610","Queens","KENSINGTON","01 ONE FAMILY HOMES",5,580000,699500,725000,770000,2007,"KENSINGTON"
"1611","Queens","KENSINGTON","02 TWO FAMILY HOMES",21,161000,760091,735000,2390000,2007,"KENSINGTON"
"1612","Queens","KENSINGTON","03 THREE FAMILY HOMES",4,350000,695000,8e+05,830000,2007,"KENSINGTON"
"1613","Queens","MADISON","01 ONE FAMILY HOMES",86,281000,638632,579500,1850000,2007,"MADISON"
"1614","Queens","MADISON","02 TWO FAMILY HOMES",50,150000,693987,645200,2050000,2007,"MADISON"
"1615","Queens","MADISON","03 THREE FAMILY HOMES",7,2e+05,691000,832000,855000,2007,"MADISON"
"1616","Queens","MANHATTAN BEACH","01 ONE FAMILY HOMES",20,310000,1192235,875000,5760000,2007,"MANHATTAN BEACH"
"1617","Queens","MANHATTAN BEACH","02 TWO FAMILY HOMES",7,810000,1311786,1162500,2115000,2007,"MANHATTAN BEACH"
"1618","Queens","MARINE PARK","01 ONE FAMILY HOMES",141,150000,483505,495000,775000,2007,"MARINE PARK"
"1619","Queens","MARINE PARK","02 TWO FAMILY HOMES",52,250000,575016,575000,815000,2007,"MARINE PARK"
"1620","Queens","MARINE PARK","03 THREE FAMILY HOMES",2,640000,705000,705000,770000,2007,"MARINE PARK"
"1621","Queens","MIDWOOD","01 ONE FAMILY HOMES",96,250000,877894,695000,1e+07,2007,"MIDWOOD"
