OBJECTID,the_geom,Name,Borough
1,POINT (-73.8472005205491 40.89470517661004),Wakefield,Bronx
2,POINT (-73.82993910812405 40.87429419303015),Co-op City,Bronx
3,POINT (-73.82780644716419 40.88755567735082),Eastchester,Bronx
4,POINT (-73.90564259591689 40.895437426903875),Fieldston,Bronx
5,POINT (-73.91258546108577 40.89083449389134),Riverdale,Bronx
6,POINT (-73.90281798724611 40.88168737120525),Kingsbridge,Bronx
7,POINT (-73.91065965862988 40.87655077879968),Marble Hill,Manhattan
8,POINT (-73.86731496814183 40.898272612138086),Woodlawn,Bronx
9,POINT (-73.87939073956817 40.877224155994504),Norwood,Bronx
10,POINT (-73.85744642974214 40.88103887819214),Williamsbridge,Bronx
11,POINT (-73.83579759808124 40.86685810725274),Baychester,Bronx
12,POINT (-73.85475564018006 40.85741349808869),Pelham Parkway,Bronx
13,POINT (-73.7864884526742 40.84724670491817),City Island,Bronx
14,POINT (-73.88551218419137 40.87018516497537),Bedford Park,Bronx
15,POINT (-73.91041596191317 40.85572707719668),University Heights,Bronx
16,POINT (-73.91967159119572 40.84789792606274),Morris Heights,Bronx
17,POINT (-73.8964265598163 40.86099679638657),Fordham,Bronx
18,POINT (-73.88735617532345 40.84269615786057),East Tremont,Bronx
19,POINT (-73.87774474910552 40.83947505672657),West Farms,Bronx
20,POINT (-73.92610209358138 40.8366230107061),High  Bridge,Bronx
21,POINT (-73.90942160757443 40.81975437059498),Melrose,Bronx
22,POINT (-73.91609987487583 40.80623874935181),Mott Haven,Bronx
23,POINT (-73.91322139386142 40.80166362775625),Port Morris,Bronx
24,POINT (-73.89578820094466 40.815099045458254),Longwood,Bronx
25,POINT (-73.88331505955298 40.809729879387135),Hunts Point,Bronx
26,POINT (-73.90150648943066 40.82359198585537),Morrisania,Bronx
27,POINT (-73.86574609554933 40.82101219791406),Soundview,Bronx
28,POINT (-73.85414416189273 40.806551120035934),Clason Point,Bronx
29,POINT (-73.8163500215845 40.815109258040096),Throgs Neck,Bronx
30,POINT (-73.82409926753857 40.84424593694742),Country Club,Bronx
31,POINT (-73.8560031053579 40.83793782226733),Parkchester,Bronx
32,POINT (-73.8421940760445 40.840619496432744),Westchester Square,Bronx
